titles,content
东京奥运会“绝对不会取消”,    据新华社电 东京奥组委6日再次确认，尽管新型冠状病毒感染的肺炎疫情仍在持续，但将于7月24日开幕的东京奥运会“绝对不会取消”。    据共同社报道，东京奥组委同时也明确表示，会采取“一切可能的措施”应对疫情带来的威胁，这些措施主要集中在两个方面，一是防止奥组委内部出现感染，以免奥运会筹备工作受到妨碍；二是防止奥运会期间运动员受到感染，并且为可能出现的感染提出应对预案。    组委会没有透露具体的行动方案，但一位东京奥组委官员说，在观众集中的场馆，可能会进行比较容易操作的健康检查，譬如在体育场入口测量体温等。    日本首相安倍晋三早些时候曾透露，日本政府将会与世界卫生组织密切合作，“以保证东京奥运会和残奥会的准备工作能够稳步推进，不会受到疫情暴发的影响”。    截至2月6日，日本国内新型冠状病毒感染者总数为45人。    东京奥组委上周发表一份声明，表示“从来没有考虑过取消奥运会的事情”。    日本奥运大臣桥本圣子早些时候也表达了东京成功举办奥运会的信心，她在上周内阁会议后的新闻发布会上说：“有人可能认为，我在独自散步的时候会想‘东京奥运会没问题吗’。但事实上，我完全没有这样的疑问，准备工作正在一如既往地向前推进。”    国际奥委会早些时候也发表声明说，国际奥委会已经与世界卫生组织和其他相关机构就新型冠状病毒感染的肺炎疫情进行了交流，并表达了成功举办东京奥运会的信心。    “应对传染疾病的措施是东京奥组委安全举办奥运会的重要组成部分，东京奥组委将继续与监控疫情的相关机构密切合作，研究可能采取的应对措施。”国际奥委会在声明中说。
中国拳击队 结束白沙冬训,    本报2月6日讯（记者甘雁鸿）记者从白沙旅文局获悉，中国拳击队在海南白沙训练基地的冬训已结束，并于2月1日抵达约旦安曼驻地训练，将参加在那里举行的东京奥运会拳击项目资格赛亚大区资格赛。    白沙冬训期间，中国拳击队高度重视疫情防控，加强管理，严禁队员与外来人员接触，食堂禁止外来人员出入，做好个人卫生等措施。    此外，春节期间，中国帆船帆板队、冲浪队分别在海口市国家帆船基地公共码头、万宁日月湾进行封闭训练，全力备战2020年东京奥运会。
中国女足抵达悉尼 备战奥运会预选赛,2月6日，中国女足队员在训练中。当日，刚刚从布里斯班抵达悉尼的中国女足在悉尼西北部郊区进行训练，备战次日进行的对阵泰国队的东京奥运会女足预选赛。新华社发
中国女足备战奥运会预选赛,"　　左图：2月6日，中国女足主帅贾秀全（中）在训练中指导球员。

　　当日，刚刚从布里斯班抵达悉尼的中国女足在悉尼西北部郊区进行训练，备战次日进行的对阵泰国队的东京奥运会女足预选赛。　　新华社记者 白雪飞 摄　　右图：2月6日，中国女足队员在训练中。　　"
﻿国乒取消内地集训,"图：在上周的德国乒乓球公开赛上，广告电子板为武汉打气/资料图片
【大公报讯】据新华社报道：中国乒乓球协会6日消息，面对新型冠状病毒感染的肺炎疫情，结束国际乒联世界巡迴赛德国公开赛的中国乒乓球队临时改变行程，提前抵达下一个巡迴赛站点卡塔尔多哈，展开备战。
德国公开赛当地时间2日在马格德堡落幕，国乒夺得5个项目中的4枚金牌。
为坚决贯彻落实国家体育总局加强对各运动队的封闭监控措施，保证运动队生活训练环境安全，确保东京奥运会备战不受影响，国乒在通盘考虑未来一段期间的训练及东奥前一系列重要比赛任务等因素后，决定将结束德国公开赛行程的这支队伍直接带往多哈。
提前赴下一巡迴赛站多哈
据悉，国乒主力队伍已於3日抵达多哈展开小板块集训，并参加下月3日至8日在该地举行的卡塔尔公开赛，随后将前往韩国备战并参加釜山世界乒乓球锦标赛。原定於内地进行的备战世乒赛集训已确认取消。
另外，内地赛事也被叫停，原定本月28日至下月1日在海南文昌举行的亚洲盃延期举办，今年2月和3月由中国乒协主办的所有赛事和活动延期举行。
中国乒协表示：“在德国、卡塔尔比赛和集训期间，国乒得到了我国驻外使领馆、国际乒联、德国乒协、卡塔尔乒协及众多外国友人的帮助与支持，对此，中国乒协表示衷心感谢。国乒将士身体情况良好，大家希望通过近期的集训和比赛，不断提高水平，在釜山世锦赛再创佳绩，在通往东京奥运会的道路上迈出坚实的每一步。”
“中国乒乓球协会、国家乒乓球队将严格按照体育总局备战东京奥运会的战略部署，结合疫情防控工作的实际需要，认真执行近期的国际赛事及釜山世锦赛备战参赛任务。后续安排将视疫情发展情况，适时予以公布。”中国乒协在公告中说。"
﻿国家队多支队伍封闭训练,"【大公报讯】记者李理报道：东京奥运会今夏举行，今个春节正是中国运动员夺取奥运参赛资格的紧要关头，很多运动队的春节都是赛期而非假期。新型冠状病毒感染的肺炎疫情发生后，多支国家队队伍保持了原有训练节奏，也有一些队伍将原计劃作了调整，採取封闭训练模式。
中国田径队春节期间原定计劃分为3部分，一部分留在北京训练，如短跑、跳跃项目组主要在国家体育总局训练局，一部分在京外训练，剩下的人员则在境外训练。国家体育总局田管中心副主任田晓君表示，“由於队伍都是封闭训练，训练方面没有受疫情太大干扰。所有人都平安，没有受到感染，一切都在按计劃进行。目前主要工作是争取把不利因素降到最低，然后踏踏实实搞好备战。”
举重队员活动範围限三处
已经放假回家的国家花剑队队员近日被火速召集回京，并按照要求各自隔离，在老山基地範围内实行完全封闭，与外界“隔绝”。国家举重队更是将队员的活动範围限定在公寓、餐厅和训练馆。
中国静水皮划艇队按计劃本应最近几天回国，备战下月底在泰国举行的亚洲锦标赛，继续争取东奥的入场券，受到疫情影响，相关负责人决定延迟回国，队伍继续留在葡萄牙进行训练。中国女子榄球队出於同样原因，改变了原定於上月27日返回广州的日程，全队继续留在新西兰陶朗加进行训练，为东奥蓄力储备。
记者了解到，目前正积极备战柏林世界锦标赛的中国单车队，已经修改了行程，提前两周前往瑞士驻训，之后再前往柏林参赛，本次比赛是东奥最后一场积分赛，世锦赛的成绩直接关係到个别小项能否入围东奥。
在封闭式管理中认真安排训练是国家步枪队目前的状态，步枪队领队王炼表示，要积极调整队员心态，让队员们感受到封闭训练积极有效的一面。国家射击队也是让心理老师随队，加强对队员们的心理方面的疏导。"
﻿东奥力争单项金牌,"图：中国体操女队年前於乔氏体操学校训练
去年体操世界锦标赛上，预赛表现惊艳的中国女队在决赛发挥失常，队长刘婷婷先后3次掉下器械，导致中国队意外地无缘前三名。面对惨痛的失利，乔良并没有责怪队员，而是主动揽责，并肯定了教练团队和队员一年的努力。
世锦赛的失利并没有改变中国女队东京奥运会的目标，虽然美国女队实力超群，但中国女队并未放弃挑战的决心，奥运团体比赛中国女队要在保住奖牌的基础上向金牌衝击。女子全能项目，虽然中国选手在难度上无法与美国天才拜尔斯相比，但唐茜婧、李诗佳等一批潜力小将的崛起，让中国女队看到了未来全能项目上突破的可能。
以中国女队目前的实力，东京奥运上争取一枚单项金牌是合理的目标。2018年乔良第一次挂帅出征世锦赛，中国女队就由刘婷婷获得了女子平衡木的冠军，老将范忆琳的高低槓项目也值得期待。体操项目偶然性较大，特别是平衡木、高低槓等极易失误的项目，很难在赛前预测最后的冠军，中国女队须尽可能地提升动作难度和稳定性，提高奥运摘金的可能。
乔良认为奥运夺金有很多因素甚至还有运气，但他坚信只要团队一起努力，中国女队一定可以在奥运上打出一场漂亮的翻身仗。"
﻿东京奥组委：奥运绝不取消,"图：东京奥运将於今年7月底举行/资料图片
【大公报讯】据新华社报道：东京奥组委6日再次确认，儘管新型冠状病毒感染的肺炎疫情仍在持续，但将於7月24日开幕的东京奥运会“绝对不会取消”。
据共同社报道，东京奥组委同时也明确表示，会採取“一切可能的措施”应对疫情带来的威胁，这些措施主要集中在两个方面，一是防止奥组委内部出现感染，以免奥运筹备工作受到妨碍；二是防止奥运期间运动员受到感染，并且为可能出现的感染提出应对预案。
体育场入口量体温
组委会没有透露具体的行动方案，但一位东京奥组委官员说，在观众集中的场馆，可能会进行比较容易操作的健康检查，譬如在体育场入口测量体温等。
日本首相安倍晋三早些时候曾透露，日本政府将会与世界卫生组织密切合作，“以保证东京奥运会和残奥会的準备工作能够稳步推进，不会受到疫情暴发的影响”。
截至本月6日，日本国内新型冠状病毒感染者总数为45人。
东京奥组委上周发表一份声明，表示“从来没有考虑过取消奥运会的事情”。
日本奥运大臣桥本圣子早些时候也表达了东京成功举办奥运的信心，她在上周内阁会议后的新闻发布会上说：“有人可能认为，我在独自散步的时候会想‘东京奥运会没问题吗’，但事实上，我完全没有这样的疑问，準备工作正在一如既往地向前推进。”
国际奥委会早些时候也发表声明说，国际奥委会已经与世界卫生组织和其他相关机构就新型冠状病毒感染的肺炎疫情进行了交流，并表达了成功举办东奥的信心。
“应对传染疾病的措施是东京奥组委安全举办奥运会的重要组成部分，东京奥组委将继续与监控疫情的相关机构密切合作，研究可能採取的应对措施。”国际奥委会在声明中说。"
英长跑传奇法拉赫因伤退出伦敦半程马拉松,"新华社伦敦2月5日电（记者张薇）赛事组委会5日消息，因在训练中脚踝轻度受伤，英国长跑传奇、奥运四金得主法拉赫决定退出3月1日举行的伦敦半程马拉松赛。
此前曾两次赢得该赛事冠军的法拉赫说，自己本来很期待再次参赛，“但我的首要任务是保证健康，在夏天时保持竞争力。正因如此，我不得不做出放弃参加今年比赛的决定，我绝对期望2021年再战”。
36岁的法拉赫去年11月宣布，他将在东京奥运会向男子万米卫冕发起冲击。法拉赫在伦敦和里约两届奥运会上都实现了5000米和10000米的金牌双丰收，还曾在2011至2017年四届世锦赛的这两个项目上总共拿下6金2银。此后，他离开田径场的跑道，专攻马拉松项目。
目前，法拉赫正在非洲进行备战。"
奥运会绝不会因疫情取消,    本报讯（记者陈嘉堃）北京时间昨天，东京奥组委再次确认，虽然新型冠状病毒感染的肺炎疫情仍在持续，但原计划于7月24日开幕的东京奥运会“绝对不会取消”。         东京奥组委上周发表了一份声明，表示“从来没有考虑过取消奥运会的事情”。东京奥组委昨天再次表示，会采取一切可能的措施应对疫情带来的威胁，这些措施主要集中在两个方面：一是防止奥组委内部出现感染，以免奥运会筹备工作受到阻碍；二是防止奥运会期间有运动员受到感染，并且为可能出现的感染提出应对预案。    此外，国际残奥委会也在昨天表示，新型冠状病毒感染的肺炎疫情对东京残奥会筹备工作的影响很小，残奥会的筹备工作会按部就班进行。    国际奥委会早些时候发表声明说，国际奥委会已经与世界卫生组织和其他相关机构就新型冠状病毒感染的肺炎疫情进行了交流，并表达了成功举办东京奥运会的信心。    国际奥委会在声明中表示：“应对传染疾病的措施是东京奥组委安全举办奥运会的重要组成部分，东京奥组委将继续与监控疫情的相关机构密切合作，研究可能采取的应对措施。”
信任和鼓励是逆转的关键,    中国女篮5号王思雨带球突破。这场比赛，她得到14分，其中尤为关键的是激活了球队的外线进攻。 全体育供图      北京时间昨晚，中国女篮在塞尔维亚的贝尔格莱德以86比76击败英国队，取得东京奥运会女篮资格赛的开门红。中国女篮主教练许利民赛后在接受本报记者采访时肯定了全队的表现和发挥，尤其肯定了韩旭和王思雨两人的表现，他表示，是信任和鼓励激活了这两大功臣。    节奏被对手打乱    与英国队一战是一场遭遇战。尽管赛前中国队做了大量的情报搜集工作，进行了有针对性的研究，但真打起来，还是需要一个适应的过程。中国女篮开场后一度是按照自己的节奏去比赛的，但先发中锋李月汝在进攻中却没能将身高、力量优势凸显出来，好在这个阶段李缘、李梦等外线球员发挥正常，中国队在比分上压制着英国队。随着比赛的进行，李月汝在防守端的困境逐渐暴露了出来，她的脚步和动作速率跟不上英国队14号法格贝尔，在一盯一的情况下，中国队其他队员就必须面对“协防”还是“不协防”的思考，这使中国队的防线出现了动摇。    恰在此时，英国队的8号汉迪开始在三分线外开火，这不仅使英国队在比分上实现了反超，还扰乱了中国队的比赛节奏。中国女篮是以防守和快速反击为特点的，一旦防守出现问题，进攻也就失去了根本。从首节后段以及第二节的大部分时间来看，英国队的攻防转换速度反而比中国队更快一些，特别是当中国队在篮下遭遇包夹防守或外线三分球投篮不中之后，英国队由守转攻的速度非常快。    两个换人很关键    眼看球队陷入困境，以许利民为首的中国队教练组果断进行调整，这个阶段的两个换人非常关键，帮助球队稳住了阵脚。内线韩旭换下李月汝。相比李月汝，韩旭在力量上差一些，但在个人中远投和灵活性上占优。她上场后不仅一度6投6中，及时解决了中国队内线攻不开的问题，给外线的队友创造出手的机会，而且在防守端频频让对手吃到盖帽。而另一个换人——后卫线换上王思雨，则打开了中国队的外线火力。王思雨用三分球狠狠地敲打了英国队的防线，使对手的防守无法内外兼顾。    韩旭昨天的表现可谓惊艳，也多少让人有些意外。去年，她通过选秀加盟WNBA，风云一时，但由于在球队中无法打上主力，状态受到了影响。WNBA赛季结束，韩旭回到国内参加WCBA联赛时，其表现相对自己的最佳状态差了不少。2018年女篮世界杯对阵美国队一役中，那个脚下步伐灵活、中距离投篮精准的韩旭不见了。“她回来后状态比较差，对自己不认可，对自己产生了怀疑。”许利民说，“我们对她还是以鼓励为主，我觉得还是要让她先建立信心。前一段30多天的国家队训练，对她是比较严苛的，训练是非常严格的。通过调整和鼓励，这一段她的身体状态达到了比较高的高度。王思雨也是，前一段状态不太好，但是通过动员，给予信任，我们确认她们的状态和实力都没问题。所以她们今天上场能够有比较好的发挥。”    下半场彻底扭转    经过中场休息的调整和布置，中国女篮在第三节打出了应有的水平。下半场先发的韩旭很好地稳住了中国队的防守，这也立即在球队的进攻上得到了积极反馈。中国队第三节打得有内有外，王思雨、李缘频频命中三分球，韩旭依旧保持着高命中率，内外的撕扯也让邵婷等人寻觅到了更大的突破上篮空间。另外，中国队最擅长的防守反击也在这一节得到了淋漓尽致的展现，上演了如同教科书一般的快攻。这一节结束，中国女篮以65比59反超比分，更重要的是，球队打出了信心，找回了自己的节奏。最后一节，中国队维持住优势，最终以86比76拿下比赛，赢得了东京奥运会女篮资格赛B组的首场胜利，掌握了出线的先机。    本场比赛中国队5人得分上双，韩旭、李梦和邵婷均拿到了16分，王思雨拿到了14分，李缘贡献13分。“李梦、邵婷，还有其他几名队员今天的表现都还可以。”许利民说，“她们都为队里做出了贡献。”此役之后，中国女篮将于8日19时对阵B组实力最强的西班牙队，随后将在9日19时对阵小组赛最后一个对手韩国队。    本报记者 李远飞 全体育供图
家里蹲 要出汗,"孙海平在家锻炼          
    2020年的冬训，和往年都有些不同。受到新型冠状病毒影响，上海田径队目前在莘庄训练基地实施全封闭训练。从过年开始就和队员蛰伏基地埋头训练，跨栏名教头孙海平告诉记者，“奥运年的备战，不能受到影响。”    由于谢文骏目前在美国接受训练，孙海平如今的训练重点是小弟子曾建航，“今年冬训，他的重点是栏间节奏，速度方面提升。目前情况来看，进步了很多。”而通过冬训，他希望曾建航能在室外赛季开始后，达到东京奥运会的参赛标准，拿到入场券和谢文骏共同出战。    赛事延期，参赛受困。一周前，世界田径联合会在官网宣布，原定于今年3月13日至15日在南京举行的世界室内田径锦标赛将推迟到2021年3月举行。而就在前一天，原计划于2月12日和13日在杭州举办的亚洲田径室内锦标赛也受疫情影响，宣布取消。    两项重头赛事的改期、取消直接影响了一线田径运动员的备战。孙海平告诉记者，训练的强度与比赛强度差别很大。“本来这两个比赛是提升运动员身体状况、创造个人最佳成绩的最好时机。”但如今，“计划全部被打乱”。    原本往年1、2月，孙海平都会带着麾下弟子前往欧洲参加多项室内田径赛事。而今年考虑到两项重头赛都在国内进行，也就没有安排出国参赛计划。“没想到这下什么比赛也没了。”    考虑到疫情影响的程度，预估未来可能恢复参赛的时间。目前，孙海平给弟子们的训练计划进行了积极调整。“最好的可能性是能赶上4月上旬室外赛季开赛。所以现在我们的训练都已针对室外了。”将栏架从6个增加到10个，跨栏高手们已未雨绸缪开始为室外赛场蓄力。    斗争在战疫第一线，钟南山院士的事迹让人动容。而他耄耋之年依然矍铄的精神状态也让人羡慕。常年保持运动习惯，钟南山与田径运动的渊源也被广泛报道。百米最快速度是11秒2，400米栏成绩为54.4秒……从专业角度来看，孙海平感叹，这成绩在训练条件相对薄弱的上世纪五六十年代，已算是全国顶尖水平。而在孙海平看来，田径运动对于人的免疫能力提高很有好处。“保持良好的健身习惯能够改善体质、保持健康。”    居家锻炼，孙海平透露，锻炼关键是“要有一定负荷。”居家期间每天应该保持一定的运动量，积极防护增强免疫力。他推荐，普通人可以先从做广播操和俯卧撑入手，也可以选择原地大幅度摆臂慢跑。“要喘气、要出汗！从心率上来讲，要保持1分钟150次心跳的运动强度。”每天坚持半小时，通过锻炼，增强体质。    本报记者 厉苒苒"
致敬“非凡英勇”道声“等你回家”,"陈蓉、马杰、曹可凡、林海（从左到右）共同
演绎小品《等你回家》          

            
          

                      
    明天这个元宵节注定不平静，新型冠状病毒来袭，全国进入非常时期——一批批白衣战士、人民子弟兵留下最美逆行背影；一队队抗疫相关人员、基层工作者依然坚守在各自岗位……为感谢并致敬这些平凡而不凡的抗疫英雄，为进一步引导广大观众增强战胜疫情的勇气和信心，共同打赢这场疫情阻击战，东方卫视将于明天20:30播出《东方大看点——2020东方卫视元宵特别节目》。    精简与丰富    “特别节目”是在上海电视台9楼一间会议室完成录制的，从设备到人员，一切最大幅度精简。为做好疫情防控，所有演职人员都需要测量体温，舞台上最多出现4个人，主持人的话筒、服装在每一个环节录制后，都会经过仔细消毒，再开始下一轮录制。    每年元宵晚会有“小春晚”之称，无论是央视还是各大地方卫视，都会选取一些未能在除夕亮相的“遗珠”，或在春晚录制时就让明星嘉宾加录新节目，留到元宵播出。“特别节目”也采用了套录方式，因此，除了以“众志成城 防控疫情”为主题的相关内容外，观众还将看到奥运冠军王励勤、张继科、蔡赟、仲满合唱《我们都是追梦人》，为即将到来的东京奥运会和2022年北京冬奥会加油（见上图）；演员赵薇将唱响歌曲《千言万语》；王自健、孙佳雨、田雷等合作小品《卖房子的人》；郭德纲、于谦等带来反串戏《甘露寺》；歌唱家雷佳演唱《明月千里寄相思》；徐峥携上海妈妈团带来影视互动《致妈妈》等形式丰富的精彩节目。    致敬与期待    除夕夜，上海首批医疗队出征武汉。“特别节目”中，上海广播电视台主持人曹可凡、陈蓉、林海、马杰共同演绎的小品《等你回家》就将再现这顿特别的“年夜饭”，展现广大白衣天使舍小家、为大家的高尚情怀。曹可凡透露，这个12分钟的小品，从拿到剧本到创作、排练、最终录制，参演的4位主持人花了不到24小时。“小品的台词非常生活化，不刻意拔高人物，我们希望将心比心，讲述抗击疫情过程中平凡人的故事。”    “等你回家”，朴实无华的4个字，也是很多市民想对所有奋战在武汉、奋战在防控疫情第一线的医务工作者说的话。前不久，一篇“上海医院医务工作者写给武汉抗疫一线妻子的信”感动了许多人。这封信的作者——上海中医药大学附属岳阳医院医务工作者印驰栋，也来到“特别节目”中，分享他的爱人——同医院的主任护士史文丽在读到这封特殊家书后的感受。印驰栋借助荧屏对身在武汉的爱人道出思念：“盼望你们都能成为疫情终结者并平安回家。”    社区是防控疫情的第一道防线。长宁区华阳路街道西一居委会党支部书记徐煜在节目中讲述自己和同事“一只口罩冲一线”，确保完成排查任务的工作经历。谈及家人是否理解和支持，徐煜透露，妻子是护士，前不久报名加入高速公路道口测温的队伍，此刻正在执勤。当初自己不赞成妻子这么做，因为不想让孩子的父母都直面风险第一线，但爱人的执着让他感动，于是夫妻俩都成了在疫情中守护上海的平安卫士。    为致敬这些白衣战士、基层卫士，著名歌唱家廖昌永唱响《非凡英勇》，这首于2003年抗击非典时期创作的歌曲韵律振奋、朗朗上口，唱出众志成城抗击疫情的信心和决心；而东方卫视品牌综艺《我们的歌》《极限挑战》《中国达人秀》《欢乐喜剧人》嘉宾肖战、阿云嘎、岳云鹏、徐峥等，一批湖北籍艺人自发“云录制”的抗击疫情朗诵组诗《因为有你》《因为有爱》也首次亮相荧屏，鼓励大家团结一心。    本报记者 吴翔"
奥运会“绝对不会”取消或推迟,本报讯（记者 黄永顺）东京奥组委和残奥组委昨天再次确认，尽管新冠肺炎疫情仍在持续，但今夏奥运会和残奥会不会取消也不会推迟。    东京奥组委与国际残奥委会昨天在东京召开发布会。前天还对疫情表示担忧的东京奥组委首席执行官武藤敏郎强调：“为避免误解，我重申东京奥运会和残奥会将如期进行。”国际残奥委会发言人斯宾塞也表示，尽管疫情仍在持续，不过对东京残奥会筹备工作的影响很小，筹备工作正按部就班进行。    东京奥组委明确表示，会采取一切可能的措施应对疫情带来的威胁，这些措施主要集中在两个方面，一是防止奥组委内部出现感染，以免奥运会筹备工作受到妨碍；二是防止奥运会期间运动员受到感染，并且为可能出现的感染提出应对预案。组委会没有透露具体的行动方案，但一位东京奥组委官员说，在观众集中的场馆，可能进行入场前测量体温等比较容易操作的健康检查。    武藤敏郎表示，为应对疫情造成的影响，东京奥组委于4日设立了以他本人为首的新型肺炎对策本部。对策本部已召开了第一次会议，确认与国际奥委会、世界卫生组织等相关机构加强合作。武藤敏郎说:“奥运会和残奥会的举办没有任何问题，今后我们也将充分监测情况的发展，冷静应对，及时采取必要的措施，将本届奥运会和残奥会办成对运动员和观众而言堪称安全和放心的大会。”斯宾塞说，除非世界卫生组织发出警示，残奥会各项筹备工作不会受到影响。    东京奥运会将于今年7月24日开幕，残奥会将于8月25日开幕。两大赛事门票销售异常火爆。截至昨天，日本国内新冠病毒感染者总数为45人，尚未有死亡病例。    日本奥运大臣桥本圣子早些时候也表达了东京成功举办奥运会的信心，她上周表示：“有人可能认为，我在独自散步的时候会想‘东京奥运会没问题吗’。但事实上，我完全没有这样的疑问，准备工作正在一如既往地往前推进。”    国际奥委会早些时候也发表声明说，国际奥委会已经与世界卫生组织和其他相关机构就炎疫情进行了交流，并表达了成功举办东京奥运会的信心。
更衣室里的喊声,"韩旭（右二）持球进攻 图 新华社          

            
          

            姚明现场督战
图IC          
    86比76，昨晚中国女篮在贝尔格莱德的奥运资格赛中，反败为胜战胜英国队取得开门红，牢牢掌握了夺取奥运资格的主动权。    众所周知，中国女篮这次奥运资格赛本来是主场作战，但是因为受新型冠状病毒感染的肺炎疫情影响，比赛临时被改在贝尔格莱德进行。而且同样由于疫情影响，中国女篮一直在封闭集训，没法外出打热身赛，也给备战带来一定难度。    昨晚比赛之前，不少女篮队员都在球鞋上写上了“武汉加油”“中国加油”。而国家队心理医生黄菁赛前的一席话，更让姑娘们特别有比赛动力：“当需要一个人站出来时，那叫勇敢；当一个团队挺身而出时，那叫担当；当一个国家身处逆境、呼唤一种精神时，那就是使命，就是信念！”女篮姑娘们都有必胜信念，然而大赛首战历来难打，而且由于比赛的重要性，大家的压力也是不小的。虽然中国篮协主席姚明亲自到现场督阵，但中国队上    半场还是打得比较紧，以43比46落后进入下半场。    中场休息时，中国女篮助理教练贾楠在更衣室的一段慷慨激昂的动员，也让队员们彻底放下心理包    袱：“球场如战场，上场就得拼和抢，准备好了吗？”“准备好了！”女篮姑娘们大声回应。“拼是什么？防守！抢是什么？篮板！”贾楠继续点出比赛的两个关键点，而大家也是连续高喊“防守”“篮板”，在如此坚定信念的鼓舞下，下半场中国队终于打出自己的水平，一举逆转对手。    “今天这么重要的奥运预选赛，能够取得开门红，这是大家努力的结果，我们打出了中国女篮的精神面貌。”赛后主帅许利民说，“尤其是在中国现在有疫情的情况下，中国女篮打出了一种精神，给全国人民带来了精神上的力量。这已经超出了一场体育比赛的意义。”    拿到2020年的开门红后，中国女篮已经将出线的主动权握在自己手中，这无疑给近来并不顺遂的中国篮球、甚至是中国“三大球”带来了久违的好消息。本报记者 李元春    中国女篮奥运资格赛余下赛程（北京时间）    2月8日19时 中国VS西班牙    2月9日19时 中国VS韩国    出线规则    中国、英国、西班牙、韩国4队进行单循环赛，排名前三名获得东京奥运会参赛权"
中国女篮战胜英国女篮,    昨晚，2020年东京奥运会女篮资格赛第三阶段比赛在贝尔格莱德进行，中国女篮迎战英国女篮。开场后，中国女篮率先进入状态，李缘、李梦和韩旭先后得分，不过随后英国女篮的外线开始发威，首节中国队落后5分。随后的比赛，双方打得十分胶着，下半场刚开始，中国队打出15比6的进攻高潮，将比分反超，末节球队攻防两端继续出色的发挥，最终以86比76战胜英国女篮，取得开门红。中国女篮有5人得分上双，韩旭、李梦和邵婷都得到了16分，根据赛程安排，中国女篮将在明晚对阵西班牙女篮。（李庆实）
